index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]
0,	2	1378.7	0.035901999999999996	-0.011528	0.998	2.4	0.89755	0.2882
1,	3	1834.4	0.033704000000000005	-0.011977	0.998	2.9	0.8426000000000001	0.299425
2,	4	2440.8	0.03138	-0.01247	0.998	3.6	0.7845	0.31175
3,	5	3247.7	0.028655	-0.012815	0.997	4.1	0.716375	0.320375
4,	6	4321.3	0.025693	-0.012893	0.996	4.8	0.642325	0.322325
5,	7	5749.7	0.022416	-0.012343999999999999	0.996	5.3	0.5604	0.3086
6,	8	7650.3	0.01941	-0.010836	0.995	6.0	0.48525	0.27090000000000003
7,	9	10179.0	0.017696	-0.0087837	0.996	6.5	0.4424	0.2195925
8,	10	13544.0	0.016863999999999997	-0.007701100000000001	0.995	7.0	0.4215999999999999	0.19252750000000002
9,	11	18021.0	0.015562000000000001	-0.0071378	0.9940000000000001	7.6	0.38905	0.178445
10,	12	23979.0	0.014027000000000001	-0.006354	0.996	8.2	0.350675	0.15885000000000002
11,	13	31905.0	0.012554000000000001	-0.0052031	0.995	8.8	0.31385	0.1300775
12,	14	42452.0	0.011312000000000001	-0.0038079	0.998	9.4	0.2828	0.0951975
13,	15	56484.0	0.010351	-0.0021609999999999997	0.998	9.9	0.25877500000000003	0.05402499999999999
14,	16	75156.0	0.0096526	-0.00028898	0.993	10.5	0.24131500000000003	0.0072245
15,	17	100000.0	0.0089163	0.002548	0.988	11.3	0.2229075	-0.06369999999999999
16,	18	75156.0	0.0094843	0.00021094	0.995	12.0	0.23710749999999997	-0.0052735
17,	19	56484.0	0.010337	-0.0021894	0.998	12.8	0.258425	0.054735000000000006
18,	20	42452.0	0.011294	-0.0037968000000000003	0.998	13.6	0.28235	0.09492
19,	21	31905.0	0.012532999999999999	-0.0052354	0.996	14.2	0.31332499999999996	0.130885
20,	22	23979.0	0.013987000000000001	-0.0063592	0.995	14.7	0.349675	0.15897999999999998
21,	23	18021.0	0.015569999999999999	-0.007176699999999999	0.995	15.3	0.38925	0.17941749999999998
22,	24	13544.0	0.016846	-0.007714699999999999	0.9940000000000001	15.8	0.42115	0.19286749999999997
23,	25	10179.0	0.017725	-0.0088279	0.997	16.4	0.44312500000000005	0.2206975
24,	26	7650.3	0.019430000000000003	-0.010856999999999999	0.996	16.9	0.48575000000000007	0.27142499999999997
25,	27	5749.7	0.022451	-0.012369	0.997	17.5	0.561275	0.30922499999999997
26,	28	4321.3	0.025717	-0.012898	0.997	18.0	0.642925	0.32245
27,	29	3247.7	0.028698	-0.012822	0.998	18.6	0.71745	0.32055
28,	30	2440.8	0.03142	-0.012465	0.9990000000000001	19.1	0.7854999999999999	0.311625
29,	31	1834.4	0.033731	-0.01196	0.998	19.7	0.8432749999999999	0.299
30,	32	1378.7	0.035866	-0.011483	0.998	20.2	0.8966500000000001	0.287075
31,	33	1036.2	0.037752999999999995	-0.011073999999999999	0.9990000000000001	20.8	0.9438249999999999	0.27685
32,	34	778.75	0.039508	-0.010801999999999999	0.9990000000000001	21.3	0.9877	0.27004999999999996
33,	35	585.28	0.041158	-0.010664	0.9990000000000001	21.9	1.02895	0.2666
34,	36	439.87	0.042910000000000004	-0.010705	0.9990000000000001	22.4	1.07275	0.267625
35,	37	330.59	0.044482	-0.010914	0.9990000000000001	23.1	1.11205	0.27285
36,	38	248.46	0.046256	-0.011352	1.0	23.7	1.1563999999999999	0.2838
37,	39	186.73	0.047896	-0.011915	1.0	24.2	1.1974	0.297875
38,	40	140.34	0.049770999999999996	-0.012754000000000001	1.0	24.8	1.2442749999999998	0.31885
39,	41	105.48	0.051604	-0.013796000000000001	1.0	25.4	1.2901	0.34490000000000004
40,	42	79.271	0.053702	-0.015163999999999999	1.0	26.0	1.34255	0.3791
41,	43	59.52	0.056094000000000005	-0.016641	1.0	27.6	1.4023500000000002	0.416025
42,	44	44.261	0.058669000000000006	-0.018759	0.9990000000000001	29.4	1.466725	0.46897500000000003
43,	45	32.576	0.061591999999999994	-0.021407	0.9990000000000001	30.9	1.5397999999999998	0.535175
44,	46	23.713	0.065295	-0.024821	0.9990000000000001	33.0	1.6323750000000001	0.620525
45,	47	17.058	0.070123	-0.0291	0.9990000000000001	35.3	1.7530750000000002	0.7275
46,	48	12.117	0.07649199999999999	-0.034283999999999995	0.9990000000000001	37.5	1.9122999999999997	0.8570999999999999
47,	49	8.4915	0.085116	-0.040157	0.9990000000000001	40.3	2.1279	1.003925
48,	50	5.8653	0.096773	-0.045993	0.998	43.8	2.4193249999999997	1.1498249999999999
49,	51	3.9894	0.11202999999999999	-0.050526	0.998	48.2	2.80075	1.26315
50,	52	2.6693	0.13083	-0.051721	0.998	53.8	3.27075	1.293025
51,	53	1.7553	0.15091	-0.04699	0.997	63.1	3.77275	1.17475
52,	54	1.1334	0.1681	-0.035693	0.996	74.8	4.2025	0.892325
53,	55	0.7181	0.1779	-0.020593	0.997	91.6	4.4475	0.514825
54,	56	0.44623	0.18191	-0.007873	0.997	116.3	4.54775	0.196825
55,	57	0.27192	0.17731	0.00087996	0.996	151.3	4.4327499999999995	-0.021999
56,	58	0.16257	0.17597000000000002	0.0048708	0.997	204.6	4.39925	-0.12176999999999999
57,	59	0.095466	0.17432999999999998	0.003251	0.995	284.1	4.35825	-0.081275
58,	60	0.055171000000000005	0.17718	0.002558	0.9940000000000001	392.1	4.4295	-0.06394999999999999
59,	61	0.031469	0.18156	0.0035695999999999996	0.993	540.6	4.539	-0.08923999999999999
