index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]	Sample	MeOH Molarity [M]	Current [mA]
0,	2	1378.7	0.055751999999999996	-0.024777	0.997	2.1	1.3938	0.619425			
1,	3	1834.4	0.050991	-0.024426	0.996	2.6	1.274775	0.61065			
2,	4	2440.8	0.046049	-0.023854	0.998	3.3	1.151225	0.59635			
3,	5	3247.7	0.041010000000000005	-0.023066999999999997	0.996	4.2	1.0252500000000002	0.5766749999999999			
4,	6	4321.3	0.03576	-0.021368	0.996	5.1	0.894	0.5342			
5,	7	5749.7	0.030854000000000003	-0.018641	0.997	5.6	0.7713500000000001	0.466025			
6,	8	7650.3	0.02732	-0.014537999999999999	0.997	6.2	0.683	0.36345			
7,	9	10179.0	0.026406	-0.010957999999999999	0.995	6.8	0.66015	0.27394999999999997			
8,	10	13544.0	0.025894999999999998	-0.0094874	0.995	7.3	0.6473749999999999	0.237185			
9,	11	18021.0	0.024569	-0.0086592	0.996	7.8	0.614225	0.21648			
10,	12	23979.0	0.022886	-0.0074777	0.995	8.4	0.57215	0.1869425			
11,	13	31905.0	0.021302	-0.0060178	0.997	8.9	0.5325500000000001	0.150445			
12,	14	42452.0	0.019965	-0.004287600000000001	0.9990000000000001	9.4	0.499125	0.10719000000000002			
13,	15	56484.0	0.018932	-0.0023222	0.9990000000000001	10.0	0.4733	0.058054999999999995			
14,	16	75156.0	0.018126	-4.6261e-05	0.996	10.5	0.45315	0.001156525			
15,	17	100000.0	0.017247	0.0038058999999999996	0.996	11.3	0.431175	-0.0951475			
16,	18	75156.0	0.017946	0.0010543	0.995	12.1	0.44865	-0.0263575			
17,	19	56484.0	0.018956	-0.0023175	0.998	12.9	0.4739	0.0579375			
18,	20	42452.0	0.020034	-0.0043073	0.998	13.7	0.50085	0.1076825			
19,	21	31905.0	0.02134	-0.0060203	0.997	14.2	0.5335000000000001	0.15050750000000002			
20,	22	23979.0	0.022905000000000002	-0.0075009000000000004	0.996	14.8	0.572625	0.1875225			
21,	23	18021.0	0.024615	-0.0086568	0.995	15.3	0.615375	0.21641999999999997			
22,	24	13544.0	0.025954	-0.009495100000000001	0.995	15.8	0.64885	0.23737750000000002			
23,	25	10179.0	0.02647	-0.010985	0.996	16.4	0.6617500000000001	0.274625			
24,	26	7650.3	0.027363	-0.014547	0.998	16.9	0.684075	0.36367499999999997			
25,	27	5749.7	0.030952999999999998	-0.018705	0.998	17.4	0.773825	0.46762499999999996			
26,	28	4321.3	0.035873	-0.021418	0.997	17.9	0.8968250000000001	0.53545			
27,	29	3247.7	0.041069999999999995	-0.023084	0.996	18.4	1.0267499999999998	0.5771000000000001			
28,	30	2440.8	0.046234	-0.024036000000000002	0.998	19.0	1.15585	0.6009			
29,	31	1834.4	0.05112	-0.024547	0.996	19.5	1.278	0.613675			
30,	32	1378.7	0.055919	-0.024907	0.998	20.0	1.3979750000000002	0.622675			
31,	33	1036.2	0.06037000000000001	-0.025164	0.998	20.6	1.5092500000000002	0.6291			
32,	34	778.75	0.06463200000000001	-0.025506	0.9990000000000001	21.3	1.6158000000000001	0.63765			
33,	35	585.28	0.068837	-0.026161	1.0	22.1	1.7209249999999998	0.654025			
34,	36	439.87	0.07294199999999999	-0.027103	0.9990000000000001	22.8	1.8235499999999998	0.6775749999999999			
35,	37	330.59	0.07724	-0.028626	1.0	23.3	1.931	0.71565			
36,	38	248.46	0.081569	-0.030644	0.9990000000000001	23.9	2.039225	0.7661			
37,	39	186.73	0.08629500000000001	-0.03327	1.0	24.4	2.157375	0.83175			
38,	40	140.34	0.09162000000000001	-0.036593	1.0	25.1	2.2905	0.914825			
39,	41	105.48	0.097426	-0.040519	1.0	25.6	2.43565	1.012975			
40,	42	79.271	0.10415999999999999	-0.045116	1.0	26.3	2.6039999999999996	1.1279000000000001			
41,	43	59.52	0.11218	-0.050388	1.0	27.7	2.8045	1.2597			
42,	44	44.261	0.12169	-0.056387	0.9990000000000001	29.5	3.04225	1.409675			
43,	45	32.576	0.13305999999999998	-0.062865	0.9990000000000001	31.1	3.3265	1.571625			
44,	46	23.713	0.147	-0.069758	0.9990000000000001	32.7	3.675	1.7439500000000001			
45,	47	17.058	0.16346	-0.076179	0.9990000000000001	34.6	4.0865	1.904475			
46,	48	12.117	0.18255	-0.08189400000000001	0.9990000000000001	36.9	4.56375	2.0473500000000002			
47,	49	8.4915	0.2042	-0.086051	1.0	39.6	5.1049999999999995	2.151275			
48,	50	5.8653	0.22754000000000002	-0.088598	1.0	43.1	5.6885	2.21495			
49,	51	3.9894	0.2529	-0.08905199999999999	1.0	47.4	6.322500000000001	2.2262999999999997			
50,	52	2.6693	0.27999	-0.086599	1.0	53.0	6.999750000000001	2.164975			
51,	53	1.7553	0.30866	-0.078876	0.9990000000000001	62.3	7.7165	1.9719			
52,	54	1.1334	0.33457	-0.063136	0.998	73.9	8.36425	1.5784			
53,	55	0.7181	0.35478000000000004	-0.041468	0.998	90.7	8.8695	1.0367			
54,	56	0.44623	0.36075	-0.021355000000000002	0.997	115.3	9.01875	0.5338750000000001			
55,	57	0.27192	0.35931	-0.0031449	0.996	150.3	8.982750000000001	0.0786225			
56,	58	0.16257	0.35362	0.0085544	0.997	203.5	8.8405	-0.21386			
57,	59	0.095466	0.34815999999999997	0.010167	0.996	283.1	8.703999999999999	-0.25417500000000004			
58,	60	0.055171000000000005	0.34368000000000004	0.0093836	0.995	391.0	8.592	-0.23459000000000002			
59,	61	0.031469	0.34391	0.011693	0.997	539.4	8.59775	-0.292325			
