index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]
0,	2	1458.2	0.03369	-0.010639000000000001	0.998	2.4	0.8422499999999999	0.265975
1,	3	1932.9	0.03171	-0.011071	0.997	2.9	0.7927500000000001	0.276775
2,	4	2562.3	0.029592	-0.011524	0.998	3.5	0.7398	0.28809999999999997
3,	5	3396.6	0.027087	-0.011873	0.997	4.1	0.677175	0.296825
4,	6	4502.5	0.024326	-0.011977	0.996	4.7	0.60815	0.299425
5,	7	5968.6	0.021242	-0.011448	0.996	5.3	0.53105	0.2862
6,	8	7911.9	0.018438	-0.0099353	0.998	6.0	0.46094999999999997	0.24838249999999998
7,	9	10488.0	0.016947	-0.007937600000000001	0.997	6.5	0.423675	0.19844000000000003
8,	10	13903.0	0.016293000000000002	-0.0069058999999999995	0.996	7.1	0.40732500000000005	0.17264749999999998
9,	11	18430.0	0.015194	-0.0064329999999999995	0.995	7.6	0.37984999999999997	0.160825
10,	12	24431.0	0.013772	-0.0057462	0.995	8.2	0.3443	0.143655
11,	13	32385.0	0.012381	-0.0047262	0.996	8.9	0.309525	0.118155
12,	14	42930.0	0.01123	-0.0033876999999999996	0.998	9.4	0.28075	0.08469249999999999
13,	15	56908.0	0.010312	-0.0018347	0.997	10.0	0.2578	0.045867500000000005
14,	16	75437.0	0.009627799999999999	-2.9954e-05	0.997	10.5	0.24069499999999996	0.00074885
15,	17	100000.0	0.008831799999999999	0.0028525	0.987	11.3	0.22079499999999996	-0.0713125
16,	18	75437.0	0.009389299999999998	0.00056289	0.993	12.1	0.23473249999999996	-0.014072250000000001
17,	19	56908.0	0.010283	-0.0018472000000000002	0.998	12.9	0.257075	0.046180000000000006
18,	20	42930.0	0.011227	-0.0034236999999999996	0.997	13.6	0.28067499999999995	0.08559249999999999
19,	21	32385.0	0.012389	-0.0047596	0.996	14.2	0.30972500000000003	0.11899
20,	22	24431.0	0.013761	-0.0057733	0.995	14.8	0.344025	0.1443325
21,	23	18430.0	0.015186000000000002	-0.0064682	0.995	15.3	0.37965000000000004	0.16170500000000002
22,	24	13903.0	0.016273	-0.0069245	0.995	15.9	0.406825	0.1731125
23,	25	10488.0	0.016962	-0.0079856	0.996	16.4	0.42405000000000004	0.19964
24,	26	7911.9	0.018461	-0.0099808	0.997	17.0	0.461525	0.24952
25,	27	5968.6	0.021237	-0.011462	0.995	17.6	0.530925	0.28654999999999997
26,	28	4502.5	0.02431	-0.011968000000000001	0.996	18.1	0.60775	0.2992
27,	29	3396.6	0.027077999999999998	-0.01187	0.998	18.7	0.6769499999999999	0.29675
28,	30	2562.3	0.029545	-0.011498	0.998	19.2	0.738625	0.28745
29,	31	1932.9	0.031684	-0.011056999999999999	0.997	19.8	0.7920999999999999	0.276425
30,	32	1458.2	0.03365	-0.010616	0.998	20.3	0.8412499999999999	0.2654
31,	33	1100.0	0.035337	-0.010241	0.998	20.8	0.883425	0.256025
32,	34	829.81	0.03696	-0.010027	0.9990000000000001	21.4	0.924	0.250675
33,	35	625.99	0.038461	-0.009927799999999999	0.9990000000000001	21.9	0.9615250000000001	0.24819499999999997
34,	36	472.23	0.040039	-0.010018	1.0	22.5	1.000975	0.25045
35,	37	356.24	0.041503	-0.010221	1.0	23.1	1.037575	0.255525
36,	38	268.74	0.043108999999999995	-0.010642	0.9990000000000001	23.7	1.0777249999999998	0.26605
37,	39	202.73	0.044661	-0.011215000000000001	1.0	24.3	1.116525	0.28037500000000004
38,	40	152.93	0.046273	-0.011977	1.0	24.8	1.156825	0.299425
39,	41	115.37	0.048012	-0.012980000000000002	1.0	25.4	1.2003	0.32450000000000007
40,	42	87.031	0.049897000000000004	-0.01427	1.0	26.0	1.247425	0.35675
41,	43	65.649	0.05193300000000001	-0.01586	1.0	26.8	1.2983250000000002	0.39649999999999996
42,	44	48.89	0.05445	-0.017681	1.0	28.4	1.36125	0.44202499999999995
43,	45	35.902	0.057399	-0.020352000000000002	1.0	30.3	1.434975	0.5088
44,	46	25.963	0.06111799999999999	-0.023765	0.9990000000000001	31.8	1.5279499999999997	0.594125
45,	47	18.462	0.06566799999999999	-0.027974000000000002	0.9990000000000001	34.0	1.6416999999999997	0.69935
46,	48	12.888	0.072234	-0.033339999999999995	0.9990000000000001	36.5	1.8058500000000002	0.8334999999999999
47,	49	8.8167	0.081238	-0.039304	0.9990000000000001	39.0	2.0309500000000003	0.9825999999999999
48,	50	5.9005	0.09401699999999999	-0.045104000000000005	0.998	42.2	2.3504249999999995	1.1276000000000002
49,	51	3.8562	0.11109000000000001	-0.049530000000000005	0.998	46.2	2.77725	1.23825
50,	52	2.4573	0.1317	-0.048749	0.997	51.5	3.2925000000000004	1.218725
51,	53	1.5252	0.1519	-0.040506	0.997	60.2	3.7975000000000003	1.01265
52,	54	0.92196	0.16765	-0.027566000000000004	0.997	71.4	4.19125	0.68915
53,	55	0.5434899999999999	0.17264000000000002	-0.010442	0.995	86.5	4.316000000000001	0.26105
54,	56	0.31344	0.1734	0.00054405	0.997	107.7	4.335	-0.01360125
55,	57	0.17783	0.17026	0.0037885999999999996	0.9940000000000001	138.5	4.2565	-0.094715
56,	58	0.1	0.16845	0.0060214	0.995	177.5	4.21125	-0.150535
