index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]
0,	2	1378.7	0.038702	-0.012691	0.998	2.2	0.96755	0.317275
1,	3	1834.4	0.036197	-0.013506	0.997	2.7	0.904925	0.33765
2,	4	2440.8	0.03335	-0.014203	0.997	3.4	0.83375	0.35507500000000003
3,	5	3247.7	0.030147000000000004	-0.014693000000000001	0.996	3.9	0.7536750000000001	0.367325
4,	6	4321.3	0.026616	-0.014736	0.995	4.5	0.6654	0.3684
5,	7	5749.7	0.02289	-0.014048	0.993	5.1	0.57225	0.3512
6,	8	7650.3	0.019552	-0.012292	0.995	5.7	0.4888	0.3073
7,	9	10179.0	0.017658	-0.010055	0.993	6.2	0.44145	0.251375
8,	10	13544.0	0.016627	-0.0088807	0.993	6.7	0.41567499999999996	0.2220175
9,	11	18021.0	0.015084	-0.0082199	0.992	7.3	0.3771	0.2054975
10,	12	23979.0	0.013322	-0.0072604	0.9940000000000001	7.8	0.33305	0.18151
11,	13	31905.0	0.011704	-0.0059425	0.9940000000000001	8.4	0.2926	0.1485625
12,	14	42452.0	0.010411	-0.0043985	0.997	9.0	0.260275	0.10996249999999999
13,	15	56484.0	0.0094339	-0.0026236000000000002	0.998	9.5	0.23584750000000002	0.06559000000000001
14,	16	75156.0	0.0087735	-0.00069829	0.991	10.0	0.2193375	0.01745725
15,	17	100000.0	0.0081036	0.0021394	0.987	10.8	0.20259000000000002	-0.053485000000000005
16,	18	75156.0	0.0086565	-0.0001895	0.9940000000000001	11.5	0.21641249999999998	0.0047375
17,	19	56484.0	0.0094476	-0.0026291	0.997	12.3	0.23619	0.06572750000000001
18,	20	42452.0	0.010416	-0.0043949	0.997	13.1	0.2604	0.10987250000000001
19,	21	31905.0	0.011726	-0.0059684	0.995	13.6	0.29315	0.14920999999999998
20,	22	23979.0	0.013328	-0.0072569	0.9940000000000001	14.2	0.3332	0.18142250000000001
21,	23	18021.0	0.015092	-0.0082315	0.993	14.7	0.37729999999999997	0.20578749999999998
22,	24	13544.0	0.016623	-0.0088756	0.993	15.2	0.41557499999999997	0.22189000000000003
23,	25	10179.0	0.017675	-0.010059	0.995	15.7	0.441875	0.251475
24,	26	7650.3	0.019577	-0.012301000000000001	0.995	16.3	0.489425	0.30752500000000005
25,	27	5749.7	0.022904	-0.014039	0.995	16.8	0.5726	0.350975
26,	28	4321.3	0.026664	-0.014745	0.995	17.3	0.6666	0.368625
27,	29	3247.7	0.030157999999999997	-0.014672	0.996	17.9	0.7539499999999999	0.36679999999999996
28,	30	2440.8	0.033413	-0.014209000000000001	0.998	18.4	0.835325	0.355225
29,	31	1834.4	0.036204	-0.013475999999999998	0.997	18.9	0.9051	0.3369
30,	32	1378.7	0.038755	-0.012687	0.997	19.4	0.9688749999999999	0.317175
31,	33	1036.2	0.040975	-0.011897	0.998	20.0	1.024375	0.297425
32,	34	778.75	0.042938	-0.011184999999999999	0.9990000000000001	20.5	1.07345	0.27962499999999996
33,	35	585.28	0.04469	-0.010558	1.0	21.1	1.11725	0.26395
34,	36	439.87	0.046339	-0.010057	0.9990000000000001	21.6	1.158475	0.251425
35,	37	330.59	0.047935000000000005	-0.0097301	1.0	22.2	1.1983750000000002	0.2432525
36,	38	248.46	0.049393	-0.0095305	1.0	22.8	1.234825	0.23826250000000002
37,	39	186.73	0.050899	-0.0094972	1.0	23.3	1.272475	0.23743000000000003
38,	40	140.34	0.052211	-0.0095859	1.0	23.9	1.305275	0.23964749999999999
39,	41	105.48	0.053663999999999996	-0.0098992	1.0	24.4	1.3416	0.24748
40,	42	79.271	0.05494400000000001	-0.010381	1.0	25.1	1.3736000000000002	0.259525
41,	43	59.52	0.056367999999999994	-0.010916	1.0	26.5	1.4091999999999998	0.27290000000000003
42,	44	44.261	0.057851	-0.012078	1.0	28.3	1.446275	0.30195
43,	45	32.576	0.059596	-0.013779	1.0	29.8	1.4899	0.344475
44,	46	23.713	0.061649	-0.016073	1.0	31.6	1.541225	0.401825
45,	47	17.058	0.064449	-0.019232	1.0	33.5	1.6112250000000001	0.4808
46,	48	12.117	0.068069	-0.023218	0.9990000000000001	36.2	1.7017250000000002	0.58045
47,	49	8.4915	0.07344400000000001	-0.028188	0.9990000000000001	39.4	1.8361000000000003	0.7047
48,	50	5.8653	0.081385	-0.033832999999999995	0.998	42.7	2.034625	0.8458249999999998
49,	51	3.9894	0.092747	-0.039221	0.997	47.1	2.318675	0.980525
50,	52	2.6693	0.10853	-0.041995	0.996	52.7	2.71325	1.049875
51,	53	1.7553	0.1276	-0.038362	0.995	62.0	3.19	0.95905
52,	54	1.1334	0.14401	-0.025329	0.993	73.7	3.60025	0.633225
53,	55	0.7181	0.14816	-0.0065048	0.991	90.5	3.7039999999999997	0.16262
54,	56	0.44623	0.14481	0.0064074	0.9890000000000001	115.1	3.62025	-0.160185
55,	57	0.27192	0.13789	0.012068	0.99	150.1	3.4472500000000004	-0.3017
