index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]
0,	2	1378.7	0.056635000000000005	-0.024261	0.998	2.1	1.4158750000000002	0.606525
1,	3	1834.4	0.05207899999999999	-0.023966	0.996	2.6	1.3019749999999999	0.5991500000000001
2,	4	2440.8	0.047249	-0.023431999999999998	0.998	3.3	1.181225	0.5858
3,	5	3247.7	0.04224	-0.022666	0.997	4.1	1.056	0.56665
4,	6	4321.3	0.037177999999999996	-0.021159999999999998	0.997	5.0	0.9294499999999999	0.5289999999999999
5,	7	5749.7	0.032236	-0.018519	0.997	5.6	0.8059000000000001	0.462975
6,	8	7650.3	0.028689999999999997	-0.014544	0.998	6.2	0.7172499999999999	0.3636
7,	9	10179.0	0.027732999999999997	-0.011045999999999999	0.996	6.7	0.693325	0.27614999999999995
8,	10	13544.0	0.027166000000000003	-0.009678200000000001	0.995	7.2	0.67915	0.24195500000000003
9,	11	18021.0	0.025692000000000003	-0.0088495	0.996	7.8	0.6423000000000001	0.2212375
10,	12	23979.0	0.023929	-0.0076798000000000005	0.996	8.3	0.598225	0.19199500000000003
11,	13	31905.0	0.022300999999999998	-0.0062163	0.997	8.8	0.5575249999999999	0.1554075
12,	14	42452.0	0.020905	-0.004446800000000001	0.998	9.4	0.522625	0.11117000000000002
13,	15	56484.0	0.019809	-0.0024511999999999997	0.9990000000000001	9.9	0.495225	0.061279999999999994
14,	16	75156.0	0.019017	-0.00018475	0.998	10.4	0.475425	0.00461875
15,	17	100000.0	0.017919	0.0039342	0.992	11.2	0.447975	-0.098355
16,	18	75156.0	0.018774000000000002	0.0010663	0.998	12.1	0.46935000000000004	-0.0266575
17,	19	56484.0	0.019775	-0.0024485	0.9990000000000001	12.8	0.494375	0.0612125
18,	20	42452.0	0.020874	-0.0044548	0.998	13.6	0.52185	0.11137
19,	21	31905.0	0.022198	-0.006213000000000001	0.997	14.1	0.5549499999999999	0.15532500000000002
20,	22	23979.0	0.023875999999999998	-0.007704399999999999	0.996	14.7	0.5969	0.19260999999999998
21,	23	18021.0	0.025602999999999997	-0.0088725	0.996	15.2	0.640075	0.2218125
22,	24	13544.0	0.027086000000000002	-0.009718700000000002	0.996	15.8	0.67715	0.24296750000000006
23,	25	10179.0	0.027632	-0.011098	0.996	16.3	0.6908	0.27745000000000003
24,	26	7650.3	0.028606	-0.014571	0.997	16.8	0.71515	0.364275
25,	27	5749.7	0.032166	-0.018547	0.998	17.3	0.80415	0.463675
26,	28	4321.3	0.037066	-0.021149	0.996	17.9	0.9266500000000001	0.528725
27,	29	3247.7	0.042197000000000005	-0.022699	0.998	18.4	1.0549250000000001	0.5674750000000001
28,	30	2440.8	0.047159	-0.02352	0.998	18.9	1.1789749999999999	0.588
29,	31	1834.4	0.051976999999999995	-0.024021	0.997	19.4	1.2994249999999998	0.600525
30,	32	1378.7	0.056546000000000006	-0.024308	0.997	19.9	1.41365	0.6077
31,	33	1036.2	0.060976	-0.024617	0.998	20.5	1.5244	0.615425
32,	34	778.75	0.065045	-0.024928	0.9990000000000001	21.3	1.626125	0.6232
33,	35	585.28	0.069101	-0.025575999999999998	0.9990000000000001	22.1	1.727525	0.6394
34,	36	439.87	0.07328899999999999	-0.02658	1.0	22.7	1.8322249999999998	0.6645
35,	37	330.59	0.07731	-0.028007	1.0	23.2	1.9327500000000002	0.700175
36,	38	248.46	0.08164500000000001	-0.03	1.0	23.8	2.041125	0.75
37,	39	186.73	0.086462	-0.032569	1.0	24.3	2.16155	0.814225
38,	40	140.34	0.09170199999999999	-0.035720999999999996	1.0	25.0	2.29255	0.8930249999999998
39,	41	105.48	0.097737	-0.039497000000000004	1.0	25.5	2.443425	0.9874250000000001
40,	42	79.271	0.10461	-0.043649	1.0	26.2	2.61525	1.0912250000000001
41,	43	59.52	0.11289	-0.048145	1.0	27.6	2.82225	1.203625
42,	44	44.261	0.12270999999999999	-0.052989	1.0	29.5	3.0677499999999998	1.324725
43,	45	32.576	0.13439	-0.057573	1.0	31.0	3.35975	1.439325
44,	46	23.713	0.14745	-0.061415	1.0	32.7	3.68625	1.535375
45,	47	17.058	0.16188	-0.064445	1.0	34.6	4.047	1.6111250000000001
46,	48	12.117	0.17677	-0.066799	1.0	36.8	4.41925	1.669975
47,	49	8.4915	0.19207	-0.06905499999999999	0.9990000000000001	39.5	4.80175	1.7263749999999998
48,	50	5.8653	0.20879	-0.072075	0.9990000000000001	42.9	5.21975	1.801875
49,	51	3.9894	0.22809000000000001	-0.075908	0.9990000000000001	47.4	5.70225	1.8977000000000002
50,	52	2.6693	0.25221	-0.078599	1.0	53.0	6.30525	1.9649750000000001
51,	53	1.7553	0.28060999999999997	-0.076789	0.9990000000000001	62.2	7.015249999999999	1.919725
52,	54	1.1334	0.31126	-0.064992	0.998	73.9	7.781499999999999	1.6247999999999998
53,	55	0.7181	0.33592	-0.040708	0.995	90.6	8.398	1.0177
54,	56	0.44623	0.34209	-0.0086899	0.995	115.3	8.55225	0.2172475
55,	57	0.27192	0.33211999999999997	0.014079	0.996	150.3	8.302999999999999	-0.351975
56,	58	0.16257	0.31739	0.023155000000000002	0.995	203.5	7.93475	-0.578875
