Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sig:_O2_in_%	Sample	MeOH Molarity [M]	Current [mA]
1.232	1606729855.887	2020/11/30_10:50:55.887	1	3	5.087668342e-06	7.25774953e-06	1.121174265e-10	8.954681614e-12	1.993705895e-11	1.356520563e-09	4.234975393e-08	3.4431377189999997e-10	1.861264441e-11	1.455552692e-11	8.646307670000001e-09	5.975400175e-10	6.674286124e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.232872942	78.22838989	0.223644182	15.9714441	0.7341116718	15.9714441	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1.683	1606729856.3379998	2020/11/30_10:50:56.338	1	3	5.104742741e-06	7.2216780610000014e-06	1.1184212579999999e-10	8.531954657e-12	1.974333023e-11	1.383417492e-09	4.389004715e-08	3.5067126980000004e-10	1.809837696e-11	1.498054805e-11	8.606475531999999e-09	5.874370990000001e-10	6.602206003999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.186348993	78.86593241	0.2162999293	15.46495759	0.7250366573	15.46495759	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.134	1606729856.789	2020/11/30_10:50:56.789	1	3	5.102880095e-06	7.2744560379999995e-06	1.1471563279999999e-10	9.120336431000001e-12	1.995756685e-11	1.373369751e-09	4.199688419e-08	3.50940943e-10	1.893311376e-11	1.537554112e-11	8.624443382e-09	6.006870557e-10	6.601657554e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.2274253929999999	78.08348384	0.2302443167	16.0351559	0.7533889169	16.0351559	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.585	1606729857.24	2020/11/30_10:50:57.240	1	3	5.099406735e-06	7.188531526e-06	1.1506652579999999e-10	8.382460524e-12	1.9550526130000002e-11	1.360617841e-09	4.20514219e-08	3.520876091e-10	1.787497234e-11	1.509385325e-11	8.64628813e-09	6.027237043e-10	6.585912926e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.223063022	78.09325714	0.22925582519999999	16.05693153	0.751391368	16.05693153	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.036	1606729857.691	2020/11/30_10:50:57.691	1	3	5.087631962000001e-06	7.213373465e-06	1.130035024e-10	8.902883638999999e-12	2.05242507e-11	1.3693123300000001e-09	4.209150006e-08	3.494468048e-10	1.869896078e-11	1.523635558e-11	8.568974863e-09	5.989229113e-10	6.542711927999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.215918705	78.22420248	0.22655476309999997	15.9248595	0.7506326401000001	15.9248595	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.487	1606729858.1420002	2020/11/30_10:50:58.142	1	3	5.0946532609999994e-06	7.252182058e-06	1.1294529199999999e-10	8.07108113e-12	1.9807893169999997e-11	1.357505774e-09	4.196411396e-08	3.476927357e-10	1.8127348579999998e-11	1.49947884e-11	8.571823251e-09	5.985181795e-10	6.611138302999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.231704427	78.18227752	0.22546253870000002	15.96994672	0.7463901248999999	15.96994672	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.938	1606729858.593	2020/11/30_10:50:58.593	1	3	5.0842782e-06	7.316396022000001e-06	1.130482027e-10	8.539855455e-12	2.010998486e-11	1.366209368e-09	4.18149817e-08	3.485533528e-10	1.8543376899999996e-11	1.537602684e-11	8.584107647e-09	5.983327722e-10	6.594412794e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.231513026	78.08988645	0.2270668854	16.03090481	0.7518271990000001	16.03090481	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.388999999999999	1606729859.044	2020/11/30_10:50:59.044	1	3	5.099709597e-06	7.3276269179999995e-06	1.1073947309999999e-10	8.863957311e-12	1.977069723e-11	1.362315039e-09	4.189494263e-08	3.367685575e-10	1.7751519e-11	1.4333123230000001e-11	8.58965965e-09	5.847699547e-10	6.556651887999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.223356835	78.1686527	0.2231591317	16.026806099999998	0.7251043808	16.026806099999998	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.84	1606729859.495	2020/11/30_10:50:59.495	1	3	5.103354397e-06	7.322013971e-06	1.103882125e-10	8.464624833999999e-12	2.015119148e-11	1.356984414e-09	4.172406065e-08	3.354785061e-10	1.87578772e-11	1.485437641e-11	8.575645970999999e-09	5.74556458e-10	6.553167452999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.227307669	78.14276074	0.22259311969999998	16.060868499999998	0.7289904239	16.060868499999998	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5.291	1606729859.946	2020/11/30_10:50:59.946	1	3	5.1002766669999994e-06	7.280041245e-06	1.106591624e-10	9.165276177000002e-12	1.9529204639999998e-11	1.372736813e-09	4.180769153e-08	3.3972563650000004e-10	1.900956302e-11	1.441218412e-11	8.594629897e-09	5.731503049999999e-10	6.587930756e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.230940205	78.11674149	0.2238892976	16.05887475	0.7337074690000001	16.05887475	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
