Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sample	MeOH Molarity [M]	Current [mA]
1.27	1604671985.711	2020/11/06_15:13:05.711	1	3	5.852755747999999e-06	7.389685379e-06	1.515657877e-10	1.117341358e-10	2.019171809e-11	1.5481327330000001e-09	4.658072328e-08	3.813526162e-10	2.432175294e-11	1.506552348e-11	9.535703781999999e-09	6.634919281e-10	5.573120298999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9352505704999999	78.16922242	0.44185553240000003	16.002296599999998	0.7399473156	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1.7209999999999999	1604671986.1620002	2020/11/06_15:13:06.162	1	3	5.8582168089999995e-06	7.344493497000001e-06	1.529556898e-10	1.10334443e-10	2.0450856289999998e-11	1.728173271e-09	4.64097667e-08	3.8092681789999997e-10	2.505435269e-11	1.593531036e-11	9.512200805e-09	6.648531725e-10	5.606686782000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9410141925	77.89314944	0.4419004687	15.96507226	0.7424597784999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.1719999999999997	1604671986.613	2020/11/06_15:13:06.613	1	3	5.856660664e-06	7.2716602520000004e-06	1.603959882e-10	1.092227003e-10	2.075131733e-11	1.7413830379999998e-09	4.638429019e-08	3.8543945810000004e-10	2.527030321e-11	1.634094943e-11	9.555928493e-09	6.629942706e-10	5.633074007e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9447452222	77.79293594	0.4521882145	16.02662734	0.7510265727	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.623	1604671987.064	2020/11/06_15:13:07.064	1	3	5.863010756e-06	7.3276269179999995e-06	1.569120389e-10	1.087935436e-10	2.085461838e-11	1.727246679e-09	4.632248363e-08	3.822695216e-10	2.453479087e-11	1.601600623e-11	9.423615666e-09	6.626343362999999e-10	5.588501328e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9407584476	77.97845115	0.4472840868	15.86354825	0.7468745564	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.074	1604671987.515	2020/11/06_15:13:07.515	1	3	5.858875284e-06	7.338867363e-06	1.313262554e-10	1.094193e-10	2.1576034359999998e-11	1.721567888e-09	4.6215195230000004e-08	3.808492688e-10	2.497646708e-11	1.658761843e-11	9.486775809e-09	6.612494441000001e-10	5.600177544e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9439104775	77.89575715	0.4057768712	15.98996999	0.7483445526000001	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.525	1604671987.966	2020/11/06_15:13:07.966	1	3	5.8553946470000005e-06	7.305182407000001e-06	1.2999804009999998e-10	1.089145787e-10	2.076638167e-11	1.554237961e-09	4.6282526260000005e-08	3.853007913e-10	2.529420944e-11	1.600862845e-11	9.496582187000001e-09	6.637909111e-10	5.580416129e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9419781319	78.12522689	0.4032861658	16.03029692	0.7551636962999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.9760000000000004	1604671988.417	2020/11/06_15:13:08.417	1	3	5.858707482000001e-06	7.386845937e-06	1.2927924009999998e-10	1.0655741570000001e-10	2.097339837e-11	1.393639759e-09	4.63807126e-08	3.818115546e-10	2.522880516e-11	1.683470204e-11	9.531834876999999e-09	6.625748838e-10	5.704222094999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9632277389	78.31951174	0.39823906729999997	16.0956702	0.7511810889	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.427	1604671988.8679998	2020/11/06_15:13:08.868	1	3	5.8605401140000005e-06	7.432281563999999e-06	1.4188465680000003e-10	1.0511475719999999e-10	2.0730783410000002e-11	1.5280339220000001e-09	4.628240902e-08	3.842025309e-10	2.538412536e-11	1.65384182e-11	9.600929829000001e-09	6.669768071000001e-10	5.685477088999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9581066711	77.99430749	0.41623909929999997	16.1793193	0.7530336887000001	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.878	1604671989.319	2020/11/06_15:13:09.319	1	3	5.85914313e-06	7.423751413e-06	1.37988232e-10	1.0355574040000001e-10	2.122028941e-11	1.564220864e-09	4.6166125139999996e-08	3.828885542e-10	2.460549473e-11	1.6718210149999997e-11	9.529147249e-09	6.6200051e-10	5.630963472999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9516333255	78.02079237	0.4082095271	16.10426729	0.7527814012999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5.329	1604671989.77	2020/11/06_15:13:09.770	1	3	5.858947134e-06	7.307990472e-06	1.480323086e-10	1.014329939e-10	2.077227626e-11	1.628402191e-09	4.6093290960000005e-08	3.8161399039999997e-10	2.5739780100000002e-11	1.6686818590000002e-11	9.508610788e-09	6.622041804e-10	5.657787017000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9564736572	77.9227257	0.4217320122	16.07472269	0.7519756167	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
