Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sig:_O2_in_%	Sample	MeOH Molarity [M]	Current [mA]
1.236	1606730740.8679998	2020/11/30_11:05:40.868	1	3	5.011064331e-06	7.243849722999999e-06	1.026477098e-10	1.0232001880000001e-11	1.692666146e-11	1.210766598e-09	3.8473441319999996e-08	3.0128921580000005e-10	1.628344508e-11	1.00075356e-11	8.486147784e-09	5.269181201999999e-10	3.5826001890000003e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07283116007	78.21317523	0.22947468079999997	17.25160373	0.7003526153	17.25160373	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1.6869999999999998	1606730741.319	2020/11/30_11:05:41.319	1	3	5.0112475949999995e-06	7.169267518999999e-06	1.0187484190000001e-10	1.022720363e-11	1.628082391e-11	1.203021016e-09	3.95117894e-08	3.008410188e-10	1.745783726e-11	9.333483639e-12	8.500329329e-09	5.283857796000001e-10	3.673831725e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07313104781	78.65190286	0.2231495797	16.92069853	0.6845912358	16.92069853	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.138	1606730741.77	2020/11/30_11:05:41.770	1	3	5.011108442e-06	7.218903193e-06	1.0147362120000001e-10	1.02240395e-11	1.6778391180000002e-11	1.207206113e-09	3.940678539e-08	2.981586922e-10	1.679502544e-11	1.017951175e-11	8.469664969e-09	5.270258119e-10	3.627232889e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07239904319	78.65537297	0.22294691309999998	16.90532863	0.6824506431999999	16.90532863	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.589	1606730742.221	2020/11/30_11:05:42.221	1	3	5.010751465e-06	7.188531526e-06	1.01286611e-10	1.119873638e-11	1.673710302e-11	1.214787049e-09	3.813699934e-08	2.9863242430000004e-10	1.721356044e-11	9.351235931e-12	8.528768802e-09	5.265906045e-10	3.671881549e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07509223694	77.99251016	0.2300394566	17.44185697	0.6992767308	17.44185697	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.04	1606730742.6720002	2020/11/30_11:05:42.672	1	3	5.014191174e-06	7.174771326e-06	1.026193505e-10	1.004546446e-11	1.6241875899999997e-11	1.211546197e-09	3.9306723210000005e-08	3.0119123860000003e-10	1.717466273e-11	9.714040336e-12	8.495630865e-09	5.285573089999999e-10	3.621891329e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07238619621	78.55741436	0.22516902530000002	16.97915114	0.6881528015999999	16.97915114	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.491	1606730743.123	2020/11/30_11:05:43.123	1	3	5.013205737e-06	7.268890840000001e-06	1.032719604e-10	1.091217654e-11	1.641177992e-11	1.2267270529999999e-09	3.818066929e-08	3.024442641e-10	1.7756065710000002e-11	9.717727491e-12	8.441274346e-09	5.303980033e-10	3.619358285e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07405219032	78.11777576	0.23362112219999998	17.27087525	0.7085919933	17.27087525	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.9419999999999997	1606730743.574	2020/11/30_11:05:43.574	1	3	5.012831934e-06	7.136369277000001e-06	1.037475592e-10	1.093147101e-11	1.619981753e-11	1.224594093e-09	3.804600368e-08	2.9942684439999997e-10	1.6868206479999998e-11	9.201353221e-12	8.488540537e-09	5.263970926e-10	3.626605613e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07434893752999999	77.99800289	0.2351031504	17.40233258	0.7005104428	17.40233258	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.393	1606730744.025	2020/11/30_11:05:44.025	1	3	5.014730959e-06	7.2494117380000004e-06	1.036124728e-10	1.040380802e-11	1.641081715e-11	1.2241482269999999e-09	3.9462229039999996e-08	3.030559137e-10	1.695548389e-11	9.286246250999999e-12	8.446295219e-09	5.23250776e-10	3.58249784e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07143355173999999	78.68608177	0.22734383260000002	16.84156958	0.6893286287	16.84156958	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.843999999999999	1606730744.476	2020/11/30_11:05:44.476	1	3	5.014101133999999e-06	7.196807474e-06	1.044491021e-10	9.881983253e-12	1.6003861429999998e-11	1.210468059e-09	3.915979718e-08	3.002462168e-10	1.638769329e-11	9.376080641e-12	8.451520372e-09	5.248764756e-10	3.58893297e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07201068307	78.57276153	0.2294013186	16.95767962	0.6862388156999999	16.95767962	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5.295	1606730744.927	2020/11/30_11:05:44.927	1	3	5.016328942e-06	7.266097782e-06	1.0352359940000001e-10	1.0361445209999999e-11	1.6676215960000002e-11	1.208674272e-09	3.9108520869999996e-08	2.9998448169999997e-10	1.721878369e-11	1.0136546120000001e-11	8.436409793e-09	5.188057206000001e-10	3.53249166e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.07098254737000001	78.58539246	0.2288427363	16.95227945	0.6912722326	16.95227945	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
