Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sig:_O2_in_%	Sample	MeOH Molarity [M]	Current [mA]
1.252	1606486315.88	2020/11/27_15:11:55.880	1	3	5.747278464999999e-06	7.185785307e-06	1.583267267e-10	3.902759713e-11	2.293791893e-11	1.8231426370000001e-09	5.527538605e-08	4.4858486370000003e-10	2.874656069e-11	1.541621171e-11	1.1565729709999999e-08	7.703714333e-10	5.144554227e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7280497463	78.2249132	0.2792929359	16.36765054	0.7297906115	16.36765054	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1.703	1606486316.331	2020/11/27_15:11:56.331	1	3	5.7504826149999996e-06	7.2911998360000004e-06	1.801099409e-10	3.916904648e-11	2.318715706e-11	1.8369089579999998e-09	5.523899915e-08	4.499007278e-10	2.881429297e-11	1.496998359e-11	1.151582563e-08	7.706382199e-10	5.156807202999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7302790266	78.22647026	0.31053099160000003	16.30808676	0.7319662806999999	16.30808676	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.154	1606486316.782	2020/11/27_15:11:56.782	1	3	5.7467200349999995e-06	7.302392078e-06	1.808599659e-10	3.943505592e-11	2.267687774e-11	1.8406103309999999e-09	5.52863284e-08	4.544565835e-10	2.835523656e-11	1.583247769e-11	1.163917585e-08	7.831739146e-10	5.228237288e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7383084331	78.0728958	0.3110908389	16.43632683	0.7361865942	16.43632683	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.605	1606486317.2329998	2020/11/27_15:11:57.233	1	3	5.748897365000001e-06	7.372707387e-06	1.8722025319999998e-10	3.9129529479999995e-11	2.318436589e-11	1.8353283339999999e-09	5.509347289e-08	4.525296249e-10	2.868755407e-11	1.5466721650000002e-11	1.154395068e-08	7.820680215e-10	5.110291079e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7247399332	78.13339641	0.3210085763	16.3715959	0.7372756011	16.3715959	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.056	1606486317.684	2020/11/27_15:11:57.684	1	3	5.745770068e-06	7.232747521000001e-06	1.599115007e-10	4.033328879e-11	2.277569452e-11	1.832260343e-09	5.4838725560000005e-08	4.486748195e-10	2.803380965e-11	1.490283591e-11	1.1570058690000001e-08	7.768967136e-10	5.122101076999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7291788559000001	78.06803998	0.2850671323	16.47105754	0.7322780924	16.47105754	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.5069999999999997	1606486318.135	2020/11/27_15:11:58.135	1	3	5.748590411e-06	7.232747521000001e-06	1.611286243e-10	3.940614154e-11	2.317797343e-11	1.83265414e-09	5.506432997999999e-08	4.5018022639999994e-10	2.882502743e-11	1.489289594e-11	1.15046852e-08	7.78516307e-10	5.098568234e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7241497184000001	78.20787566	0.2848195563	16.34010602	0.7344032909	16.34010602	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.958	1606486318.586	2020/11/27_15:11:58.586	1	3	5.751689513999999e-06	7.229984021000001e-06	1.6042285559999998e-10	3.906981336e-11	2.2165120430000002e-11	1.837478725e-09	5.512261581e-08	4.4912903949999997e-10	2.908459758e-11	1.5633182250000002e-11	1.162733732e-08	7.780123212e-10	5.133558023e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7271915281999999	78.08365864	0.2825903167	16.47064503	0.7309540661	16.47064503	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.409	1606486319.0370002	2020/11/27_15:11:59.037	1	3	5.7500546970000005e-06	7.163783266e-06	1.595754084e-10	3.953367841e-11	2.319397799e-11	1.8384340719999998e-09	5.530458225e-08	4.498053596e-10	2.8868027759999996e-11	1.584309767e-11	1.162037577e-08	7.727253282e-10	5.108488076999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7219071197	78.15379242	0.2813714454	16.42135966	0.7316036831	16.42135966	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.86	1606486319.488	2020/11/27_15:11:59.488	1	3	5.748196144999999e-06	7.268890840000001e-06	1.602321054e-10	4.0061259860000003e-11	2.3101702840000002e-11	1.8401401510000002e-09	5.5159038229999995e-08	4.5139919580000007e-10	2.863819598e-11	1.480517618e-11	1.156392937e-08	7.71223807e-10	5.131690628e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7272212768999999	78.16688324	0.283839396	16.38745609	0.7339883117	16.38745609	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5.311	1606486319.939	2020/11/27_15:11:59.939	1	3	5.756229712e-06	7.21614515e-06	1.5937033640000001e-10	3.8610642460000003e-11	2.358193849e-11	1.84301463e-09	5.5173689620000005e-08	4.492263506e-10	2.8808799100000003e-11	1.573889283e-11	1.14457146e-08	7.703727101e-10	5.114736412e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.7259104871	78.30542315	0.2809850933	16.2443645	0.7342590153	16.2443645	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
