,index,number,frequency [Hz],impedance Re [Ohm],impedance Im [Ohm],significance,time [s]
0,0.0,2,1.4582e+03,3.5139e-02,-1.0637e-02,0.998,2.2
1,1.0,3,1.9329e+03,3.3105e-02,-1.1366e-02,0.997,2.8
2,2.0,4,2.5623e+03,3.0787e-02,-1.2013e-02,0.997,3.4
3,3.0,5,3.3966e+03,2.8121e-02,-1.2543e-02,0.996,4.0
4,4.0,6,4.5025e+03,2.5126e-02,-1.2719e-02,0.994,4.6
5,5.0,7,5.9686e+03,2.1878e-02,-1.2283e-02,0.994,5.2
6,6.0,8,7.9119e+03,1.8869e-02,-1.0838e-02,0.995,5.9
7,7.0,9,1.0488e+04,1.7133e-02,-8.9060e-03,0.996,6.5
8,8.0,10,1.3903e+04,1.6198e-02,-7.8133e-03,0.993,7.0
9,9.0,11,1.8430e+04,1.4875e-02,-7.2735e-03,0.993,7.5
10,10.0,12,2.4431e+04,1.3261e-02,-6.4692e-03,0.994,8.1
11,11.0,13,3.2385e+04,1.1717e-02,-5.2942e-03,0.995,8.8
12,12.0,14,4.2930e+04,1.0426e-02,-3.7797e-03,0.997,9.4
13,13.0,15,5.6908e+04,9.4447e-03,-1.9922e-03,0.999,9.9
14,14.0,16,7.5437e+04,8.7255e-03,-3.3219e-05,0.987,10.4
15,15.0,17,1.0000e+05,8.0434e-03,2.9086e-03,0.980,11.2
16,16.0,18,7.5437e+04,8.5975e-03,4.2151e-04,0.993,12.0
17,17.0,19,5.6908e+04,9.4200e-03,-2.0009e-03,0.997,12.8
18,18.0,20,4.2930e+04,1.0437e-02,-3.7808e-03,0.998,13.6
19,19.0,21,3.2385e+04,1.1710e-02,-5.2905e-03,0.995,14.2
20,20.0,22,2.4431e+04,1.3260e-02,-6.4770e-03,0.994,14.7
21,21.0,23,1.8430e+04,1.4875e-02,-7.2821e-03,0.994,15.3
22,22.0,24,1.3903e+04,1.6197e-02,-7.8167e-03,0.994,15.8
23,23.0,25,1.0488e+04,1.7134e-02,-8.9061e-03,0.994,16.4
24,24.0,26,7.9119e+03,1.8882e-02,-1.0846e-02,0.996,16.9
25,25.0,27,5.9686e+03,2.1894e-02,-1.2287e-02,0.995,17.5
26,26.0,28,4.5025e+03,2.5116e-02,-1.2707e-02,0.995,18.1
27,27.0,29,3.3966e+03,2.8119e-02,-1.2536e-02,0.997,18.6
28,28.0,30,2.5623e+03,3.0754e-02,-1.1988e-02,0.998,19.2
29,29.0,31,1.9329e+03,3.3122e-02,-1.1366e-02,0.998,19.7
30,30.0,32,1.4582e+03,3.5118e-02,-1.0624e-02,0.998,20.2
31,31.0,33,1.1000e+03,3.6911e-02,-9.9559e-03,0.998,20.8
32,32.0,34,8.2981e+02,3.8469e-02,-9.3808e-03,0.999,21.4
33,33.0,35,6.2599e+02,4.0033e-02,-8.9281e-03,0.999,21.9
34,34.0,36,4.7223e+02,4.1371e-02,-8.5549e-03,1.000,22.4
35,35.0,37,3.5624e+02,4.2707e-02,-8.3225e-03,1.000,23.1
36,36.0,38,2.6874e+02,4.3868e-02,-8.2071e-03,1.000,23.7
37,37.0,39,2.0273e+02,4.5098e-02,-8.2530e-03,1.000,24.2
38,38.0,40,1.5293e+02,4.6214e-02,-8.4551e-03,1.000,24.8
39,39.0,41,1.1537e+02,4.7358e-02,-8.8582e-03,1.000,25.4
40,40.0,42,8.7031e+01,4.8494e-02,-9.4807e-03,1.000,26.0
41,41.0,43,6.5649e+01,4.9742e-02,-1.0393e-02,1.000,26.7
42,42.0,44,4.8890e+01,5.1176e-02,-1.1466e-02,1.000,28.2
43,43.0,45,3.5902e+01,5.2931e-02,-1.3212e-02,1.000,30.2
44,44.0,46,2.5963e+01,5.5027e-02,-1.5591e-02,1.000,31.9
45,45.0,47,1.8462e+01,5.8006e-02,-1.8768e-02,0.999,33.7
46,46.0,48,1.2888e+01,6.2113e-02,-2.2814e-02,0.999,35.7
47,47.0,49,8.8167e+00,6.7954e-02,-2.7590e-02,0.998,38.7
48,48.0,50,5.9005e+00,7.6621e-02,-3.2512e-02,0.997,42.2
49,49.0,51,3.8562e+00,8.9311e-02,-3.7156e-02,0.996,46.2
50,50.0,52,2.4573e+00,1.0619e-01,-3.7462e-02,0.995,51.6
51,51.0,53,1.5252e+00,1.2417e-01,-2.9827e-02,0.993,60.4
52,52.0,54,9.2196e-01,1.3435e-01,-1.1854e-02,0.991,71.5
53,53.0,55,5.4349e-01,1.3281e-01,4.4056e-03,0.989,86.5
54,54.0,56,3.1344e-01,1.2418e-01,1.2679e-02,0.988,107.7
55,55.0,57,1.7783e-01,1.1628e-01,1.4739e-02,0.990,138.5
56,56.0,58,1.0000e-01,1.1014e-01,1.2740e-02,0.991,177.6
