,   1      1.0362e+03       8.8650e-03       -9.9917e-04        0.999           0.0
0,   2      1.3787e+03       8.6939e-03       -8.8863e-04        0.999           2.2
1,   3      1.8344e+03       8.5425e-03       -7.8135e-04        0.999           2.7
2,   4      2.4408e+03       8.3970e-03       -6.7484e-04        0.999           3.3
3,   5      3.2477e+03       8.2622e-03       -5.7332e-04        0.999           3.8
4,   6      4.3213e+03       8.1118e-03       -4.7636e-04        0.999           4.4
5,   7      5.7497e+03       7.9155e-03       -3.7213e-04        0.999           4.9
6,   8      7.6503e+03       7.6154e-03       -1.8893e-04        1.000           5.5
7,   9      1.0179e+04       7.2508e-03        2.3479e-04        0.998           6.0
8,  10      1.3544e+04       7.0566e-03        9.0036e-04        0.997           6.6
9,  11      1.8021e+04       7.0192e-03        1.6254e-03        0.996           7.2
10,  12      2.3979e+04       7.0214e-03        2.4287e-03        0.995           7.8
11,  13      3.1905e+04       6.9444e-03        3.4180e-03        0.991           8.5
12,  14      4.2452e+04       6.9010e-03        4.6989e-03        0.988           9.1
13,  15      5.6484e+04       6.7934e-03        6.4018e-03        0.981           9.7
14,  16      7.5156e+04       6.6277e-03        8.7094e-03        0.976          10.4
15,  17      1.0000e+05       7.1812e-03        1.0956e-02        0.974          11.3
16,  18      7.5156e+04       7.1027e-03        8.0759e-03        0.980          12.2
17,  19      5.6484e+04       6.7764e-03        6.4112e-03        0.982          12.9
18,  20      4.2452e+04       6.9116e-03        4.6989e-03        0.986          13.7
19,  21      3.1905e+04       6.9712e-03        3.4187e-03        0.990          14.3
20,  22      2.3979e+04       6.9874e-03        2.4178e-03        0.995          14.8
21,  23      1.8021e+04       7.0214e-03        1.6254e-03        0.995          15.4
22,  24      1.3544e+04       7.0647e-03        8.9842e-04        0.996          15.9
23,  25      1.0179e+04       7.2569e-03        2.3214e-04        0.998          16.4
24,  26      7.6503e+03       7.6249e-03       -1.9320e-04        1.000          17.0
25,  27      5.7497e+03       7.9306e-03       -3.7546e-04        0.999          17.5
26,  28      4.3213e+03       8.1283e-03       -4.7744e-04        0.999          18.0
27,  29      3.2477e+03       8.2769e-03       -5.7693e-04        0.999          18.6
28,  30      2.4408e+03       8.4161e-03       -6.7917e-04        0.999          19.1
29,  31      1.8344e+03       8.5614e-03       -7.8601e-04        0.999          19.7
30,  32      1.3787e+03       8.7162e-03       -8.9356e-04        0.999          20.2
31,  33      1.0362e+03       8.8886e-03       -1.0046e-03        0.999          20.8
32,  34      7.7875e+02       9.0707e-03       -1.1188e-03        1.000          21.3
33,  35      5.8528e+02       9.2728e-03       -1.2393e-03        1.000          21.9
34,  36      4.3987e+02       9.4837e-03       -1.3677e-03        1.000          22.4
35,  37      3.3059e+02       9.7172e-03       -1.5153e-03        1.000          22.9
36,  38      2.4846e+02       9.9632e-03       -1.6835e-03        1.000          23.5
37,  39      1.8673e+02       1.0241e-02       -1.8721e-03        1.000          24.1
38,  40      1.4034e+02       1.0540e-02       -2.0877e-03        1.000          24.6
39,  41      1.0548e+02       1.0881e-02       -2.3375e-03        1.000          25.2
40,  42      7.9271e+01       1.1246e-02       -2.6162e-03        1.000          25.9
41,  43      5.9520e+01       1.1667e-02       -2.9096e-03        1.000          27.5
42,  44      4.4261e+01       1.2115e-02       -3.2869e-03        1.000          29.3
43,  45      3.2576e+01       1.2615e-02       -3.7617e-03        1.000          30.8
44,  46      2.3713e+01       1.3180e-02       -4.3933e-03        1.000          32.5
45,  47      1.7058e+01       1.3857e-02       -5.2288e-03        1.000          34.5
46,  48      1.2117e+01       1.4704e-02       -6.3420e-03        1.000          36.7
47,  49      8.4915e+00       1.5795e-02       -7.7801e-03        1.000          39.5
48,  50      5.8653e+00       1.7173e-02       -9.6283e-03        1.000          43.0
49,  51      3.9894e+00       1.8891e-02       -1.2107e-02        1.000          47.3
50,  52      2.6693e+00       2.1141e-02       -1.5580e-02        1.000          53.1
51,  53      1.7553e+00       2.4414e-02       -2.0595e-02        0.999          62.3
52,  54      1.1334e+00       2.9871e-02       -2.7754e-02        0.997          74.1
53,  55      7.1810e-01       3.9698e-02       -3.7000e-02        0.993          91.0
54,  56      4.4623e-01       5.7872e-02       -4.5818e-02        0.989         115.7
55,  57      2.7192e-01       8.5486e-02       -4.3895e-02        0.983         150.8
56,  58      1.6257e-01       1.0720e-01       -2.1636e-02        0.980         204.1
57,  59      9.5466e-02       1.0468e-01        2.2404e-03        0.981         283.7
