,Time Relative (sec),Time Absolute (UTC),Time Absolute (Date_Time),Step,Ionizer_State,Pressure_(mBar),External_Pressure_(mBar),1_amu,2_amu_(Hydrogen),15_amu_(Methanol_/_CH3OH),18_amu_(Water),28_amu_(Nitrogen),29_amu_(Methanol_/_CH3OH),30_amu_(Methanol_/_CH3OH),31_amu_(Methanol_/_CH3OH),32_amu_(Oxygen),40_amu_(Argon),44_amu_(CO2),Periph:_Digital_In_0,Periph:_Digital_In_1,Periph:_Digital_In_13,Periph:_Digital_In_14,Periph:_Digital_In_15,Periph:_Digital_In_16,Periph:_Digital_In_17,Periph:_Digital_Out_2,Periph:_Digital_Out_3,Periph:_Digital_Out_4,Periph:_Digital_Out_5,Periph:_Digital_Out_6,Periph:_Digital_Out_7,Periph:_Digital_Out_8,Periph:_Digital_Out_9,Periph:_Digital_Out_10,Periph:_Digital_Out_11,Sig:_CO2_in_%,Sig:_N2_in_%,Sig:_H2_in_%,Sig:_H2O_in_%,Sig:_MeOH_in_%
0,1.224,1604671247.5779998,2020/11/06_15:00:47.578,1,3,5.743597285e-06,7.395341981e-06,1.4563898700000002e-10,1.7365123230000002e-11,2.4391320559999997e-11,1.683511774e-09,5.0840768039999997e-08,4.2459816219999994e-10,2.887650535e-11,1.872614216e-11,1.115137493e-08,7.17281512e-10,4.823478075e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07409249194,78.09549743,0.2503873871,17.1294063,0.7628053415999999
1,1.675,1604671248.029,2020/11/06_15:00:48.029,1,3,5.744878307999999e-06,7.381178875e-06,1.476536671e-10,1.718283849e-11,2.4049961670000002e-11,1.695248941e-09,5.07062019e-08,4.275143572e-10,2.93801615e-11,1.886322522e-11,1.12531291e-08,7.055417917e-10,4.833631759e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07428002647000001,77.92190651,0.2533097391,17.29305766,0.7680711204
2,2.126,1604671248.48,2020/11/06_15:00:48.480,1,3,5.758225597999999e-06,7.336055205e-06,1.4717833899999998e-10,1.770789591e-11,2.458555408e-11,1.698851837e-09,5.079717624e-08,4.241300922e-10,2.927945039e-11,1.9317349800000003e-11,1.1329878370000001e-08,7.976913574e-10,4.8553720069999996e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07431576179999999,77.74956984,0.2523729621,17.34138066,0.7611806727
3,2.577,1604671248.931,2020/11/06_15:00:48.931,1,3,5.752830475e-06,7.355768048e-06,1.4597859030000003e-10,1.821918831e-11,2.445463623e-11,1.69648362e-09,5.080076448e-08,4.2433034860000005e-10,2.954008566e-11,1.805548593e-11,1.13013412e-08,8.018735120000001e-10,4.936586209e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0755865173,77.78356744,0.2514113541,17.30404343,0.7600328633
4,3.028,1604671249.3820002,2020/11/06_15:00:49.382,1,3,5.7523875510000004e-06,7.333244412e-06,1.473976635e-10,1.6874996189999998e-11,2.434724644e-11,1.6949466269999999e-09,5.05825426e-08,4.197084624e-10,2.9554452639999995e-11,1.806031887e-11,1.104508396e-08,7.975450855e-10,4.794314598e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07395893899,78.03057362,0.25341331629999997,17.03857087,0.7584697732
5,3.4789999999999996,1604671249.833,2020/11/06_15:00:49.833,1,3,5.751594927e-06,7.352949978999999e-06,1.460051524e-10,1.801270071e-11,2.3767508790000002e-11,1.7010730600000002e-09,5.051345298e-08,4.1986875089999994e-10,3.017025171e-11,1.8184041080000003e-11,1.111192649e-08,8.108724248e-10,4.779030296e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07370369337999999,77.90342012,0.2529534404,17.13715905,0.7587631501000001
6,3.93,1604671250.284,2020/11/06_15:00:50.284,1,3,5.752978267999999e-06,7.3925098150000005e-06,1.477242911e-10,1.777036157e-11,2.420389236e-11,1.6894603489999998e-09,5.0677119389999995e-08,4.199518233e-10,2.928234044e-11,1.825389666e-11,1.111921044e-08,7.913922295e-10,4.8928191360000003e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07529348842,77.98483852,0.2546726002,17.11087452,0.7566435898
7,4.381,1604671250.735,2020/11/06_15:00:50.735,1,3,5.751582647999999e-06,7.296797321e-06,1.464556532e-10,1.832113627e-11,2.4211743719999997e-11,1.694758667e-09,5.070798181e-08,4.236858087e-10,2.895133785e-11,1.807369185e-11,1.118597215e-08,7.780792122e-10,4.84397869e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07443693933,77.92245191,0.2532108554,17.18937228,0.7605426152
8,4.832,1604671251.186,2020/11/06_15:00:51.186,1,3,5.751202480000001e-06,7.338867363e-06,1.48422899e-10,1.703425768e-11,2.3264692259999998e-11,1.6923386030000002e-09,5.050605623e-08,4.232767192e-10,2.840813175e-11,1.764804448e-11,1.114241854e-08,7.706071337e-10,4.754262609e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07334898711,77.92098106,0.2552680794,17.19057573,0.7599818748999999
9,5.2829999999999995,1604671251.637,2020/11/06_15:00:51.637,1,3,5.753085587999999e-06,7.305182407000001e-06,1.4900611299999998e-10,1.742246104e-11,2.453588895e-11,1.6910550739999999e-09,5.015316518e-08,4.216426375e-10,2.9394063569999996e-11,1.8006240600000002e-11,1.1141898070000001e-08,7.653102596e-10,4.814155671e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07468487779,77.80560638,0.2581906063,17.28509323,0.7657183764
